Date,Category,Amount,Description
01-01-2025,Income,1300.0,Part-time salary
01-01-2025,Food,-16.0,Lunch at café
02-01-2025,Shopping,-50.0,Jeans
02-01-2025,Entertainment,-15.0,Netflix subscription
03-01-2025,Food,-18.0,Groceries
03-01-2025,Leisure,-22.0,Gym session
04-01-2025,Bills,-75.0,Electricity bill
05-01-2025,Transport,-10.0,Bus fare
05-01-2025,Food,-12.0,Coffee
06-01-2025,Rent,-680.0,Monthly rent
06-01-2025,Shopping,-55.0,T-shirt
07-01-2025,Entertainment,-18.0,Concert ticket
07-01-2025,Food,-20.0,Dinner out
08-01-2025,Bills,-60.0,Internet bill
08-01-2025,Leisure,-28.0,Swimming
09-01-2025,Food,-20.0,Lunch
10-01-2025,Income,300.0,Freelance gig
10-01-2025,Transport,-12.0,Train fare
11-01-2025,Food,-25.0,Groceries
12-01-2025,Shopping,-50.0,Backpack
12-01-2025,Entertainment,-15.0,Spotify subscription
13-01-2025,Bills,-70.0,Gas bill
13-01-2025,Leisure,-28.0,Bowling
14-01-2025,Food,-23.0,Dinner
15-01-2025,Refund,40.0,Returned shirt
15-01-2025,Shopping,-45.0,Books
16-01-2025,Entertainment,-20.0,Movie night
16-01-2025,Food,-12.0,Lunch wrap
17-01-2025,Transport,-12.0,Fuel
18-01-2025,Income,250.0,Tutoring session
18-01-2025,Leisure,-30.0,Karaoke night
19-01-2025,Food,-18.5,Groceries
20-01-2025,Shopping,-55.0,Desk chair
21-01-2025,Entertainment,-15.0,Netflix subscription
21-01-2025,Food,-14.0,Lunch
22-01-2025,Bills,-65.0,Water bill
22-01-2025,Transport,-10.0,Taxi
23-01-2025,Leisure,-28.0,Museum visit
24-01-2025,Food,-21.0,Dinner
25-01-2025,Shopping,-60.0,Sports gear
25-01-2025,Entertainment,-16.0,Spotify subscription
26-01-2025,Income,300.0,Side hustle
26-01-2025,Food,-22.0,Groceries
27-01-2025,Transport,-14.0,Bus fare
28-01-2025,Shopping,-50.0,Clothes
29-01-2025,Leisure,-30.0,Arcade
30-01-2025,Food,-18.0,Dinner
31-01-2025,Refund,10.0,Returned mug
31-01-2025,Refund,55.0,Returned book
01-02-2025,Income,1240.0,Part-time salary
01-02-2025,Food,-8.5,Coffee and pastry
02-02-2025,Entertainment,-13.0,Netflix subscription
02-02-2025,Leisure,-18.0,Swimming session
03-02-2025,Bills,-81.0,Electricity bill
03-02-2025,Food,-19.4,Groceries
04-02-2025,Shopping,-38.0,Books
05-02-2025,Transport,-5.0,Bus fare
05-02-2025,Food,-12.6,Lunch with friends
06-02-2025,Refund,120.0,Returned shoes
06-02-2025,Leisure,-22.0,Gym session
07-02-2025,Entertainment,-12.0,Spotify subscription
08-02-2025,Bills,-44.0,Internet bill
08-02-2025,Food,-16.4,Groceries
09-02-2025,Transport,-13.0,Taxi ride
10-02-2025,Income,250.0,Freelance gig
10-02-2025,Shopping,-62.0,Hoodie
11-02-2025,Rent,-680.0,Monthly rent
11-02-2025,Bills,-63.0,Gas bill
12-02-2025,Leisure,-26.0,Bowling
13-02-2025,Food,-20.0,Groceries
14-02-2025,Entertainment,-30.0,Valentine’s dinner
15-02-2025,Shopping,-48.0,Desk lamp
16-02-2025,Transport,-11.0,Fuel
16-02-2025,Bills,-13.0,Cloud storage
17-02-2025,Food,-15.0,Groceries
18-02-2025,Income,280.0,Side project
18-02-2025,Leisure,-34.0,Karaoke night
19-02-2025,Entertainment,-12.0,Spotify subscription
20-02-2025,Shopping,-70.0,Jacket
20-02-2025,Food,-18.2,Groceries
21-02-2025,Transport,-9.0,Train fare
21-02-2025,Leisure,-20.0,Badminton session
22-02-2025,Bills,-52.0,Water bill
23-02-2025,Food,-21.8,Groceries
24-02-2025,Shopping,-42.0,Shoes
25-02-2025,Entertainment,-14.0,Netflix subscription
25-02-2025,Food,-17.0,Takeaway dinner
26-02-2025,Income,190.0,Tutoring
26-02-2025,Leisure,-28.0,Cinema
27-02-2025,Transport,-7.5,Bus fare
28-02-2025,Food,-19.5,Groceries
